ulan_id,profession_type,count
http://vocab.getty.edu/aat/300386337,clothing manufacturers,2
http://vocab.getty.edu/aat/300025975,clubs (associations),3
http://vocab.getty.edu/aat/300136719,cobblers,1
http://vocab.getty.edu/aat/300025113,collagists,2
http://vocab.getty.edu/aat/300025976,collections (object groupings),5
http://vocab.getty.edu/aat/300025234,collectors,540
http://vocab.getty.edu/aat/300312285,colleges (institutions),15
http://vocab.getty.edu/aat/300025661,comedians,1
http://vocab.getty.edu/aat/300025446,commissioners (government officials),7
http://vocab.getty.edu/aat/300025956,commissions (boards),11
http://vocab.getty.edu/aat/300025980,committees,36
http://vocab.getty.edu/aat/300160084,companies,130
http://vocab.getty.edu/aat/300025671,composers,49
http://vocab.getty.edu/aat/300253822,computer artists,2
http://vocab.getty.edu/aat/300025819,computer programmers,1
http://vocab.getty.edu/aat/300236481,computer scientists,1
http://vocab.getty.edu/aat/300131101,conceptual artists,12
http://vocab.getty.edu/aat/300386321,concubines,2
http://vocab.getty.edu/aat/300236493,condottieri,2
http://vocab.getty.edu/aat/300264539,connoisseurs,7
http://vocab.getty.edu/aat/300025820,conservation scientists,1
http://vocab.getty.edu/aat/300102842,conservators (people in conservation),55
http://vocab.getty.edu/aat/300150095,consortia,20
http://vocab.getty.edu/aat/300386352,construction firms,45
http://vocab.getty.edu/aat/300025001,construction workers,5
http://vocab.getty.edu/aat/300025461,consuls,3
http://vocab.getty.edu/aat/300025835,consultants,105
http://vocab.getty.edu/aat/300386276,contracting firms (construction),5
http://vocab.getty.edu/aat/300025052,contractors,35
http://vocab.getty.edu/aat/300259563,cooperatives (business enterprises),13
http://vocab.getty.edu/aat/300025375,coopers,4
http://vocab.getty.edu/aat/300025318,coppersmiths,2
http://vocab.getty.edu/aat/300025189,copyists,8
http://vocab.getty.edu/aat/300386361,corporate bodies,45
http://vocab.getty.edu/aat/300025969,corporations,64
http://vocab.getty.edu/aat/300225705,correspondents (correspondence writers),8
http://vocab.getty.edu/aat/300236518,cosmographers,2
http://vocab.getty.edu/aat/300163428,costume designers,8
http://vocab.getty.edu/aat/300312287,councils (general),83
http://vocab.getty.edu/aat/300251944,countesses,3
http://vocab.getty.edu/aat/300025449,courtiers,11
http://vocab.getty.edu/aat/300252735,courts (judicial bodies),2
http://vocab.getty.edu/aat/300025389,craftsmen,124
http://vocab.getty.edu/aat/300025837,criminals,2
http://vocab.getty.edu/aat/300386264,criminologists,1
http://vocab.getty.edu/aat/300025519,critics,64
http://vocab.getty.edu/aat/300343609,cultural centers (institutions),13
http://vocab.getty.edu/aat/300025633,curators,119
